idmeter,clus_num
22815358,4
22815360,1
22815361,7
22815362,9
22815363,5
22815364,1
22815365,5
22815366,3
22815367,1
22815368,7
22815369,7
22815370,11
22815371,11
22815372,12
22815373,3
22815374,7
22815375,3
22815376,5
22815377,9
22815378,1
22815380,4
22815381,3
22815382,1
22815383,5
22815384,7
22815385,7
22815386,11
22815387,5
22815388,6
22815389,4
22815390,7
22815391,1
22815392,3
22815393,1
22815394,9
22815396,6
22815398,4
22815399,1
22815400,1
22815401,1
22815402,5
22815403,4
22815404,3
22815405,7
22815406,1
22815407,12
22815408,4
22815413,11
22815414,3
22815415,4
22815416,11
22815417,3
22815418,4
22815419,4
22815420,1
22815421,7
22815422,3
22815423,7
22815424,11
22815425,10
22815426,11
22815427,11
22815429,1
22815430,11
22815431,1
22815432,4
22815433,1
22815434,4
22815435,4
22815436,4
22815439,1
22815440,1
22815441,8
22815442,1
22815445,4
22815446,6
22815447,10
22815449,4
22815450,8
22815451,4
22815452,11
22815453,1
22815454,11
22815457,4
22815458,1
22815459,1
22815460,1
22815461,1
22815462,10
22815463,3
22815465,4
22815467,8
22815468,10
22815470,3
22815473,8
22815477,8
22815478,8
22815479,8
22815481,8
22815483,11
22815485,11
22815486,7
22815488,4
22815489,4
22815492,4
22815493,3
22815496,5
22815497,4
22815498,4
22815500,7
22815501,4
22815502,1
22815503,1
22815504,3
22815505,12
22815506,4
22815507,7
22815510,11
22815511,4
22815512,5
22815513,12
22815514,1
22815515,1
22815516,4
22815518,3
22815519,3
22815520,7
22815521,3
22815523,12
22815526,9
22815527,7
22815528,7
22815529,1
22815530,5
22815531,1
22815532,4
22815533,1
22815534,4
22815535,1
22815536,4
22815537,1
22815539,1
22815541,8
22815542,9
22815545,7
22815547,4
22815549,1
22815550,7
22815551,10
22815552,8
22815553,4
22815554,8
22815555,11
22815556,3
22815557,10
22815559,12
22815561,6
22815562,4
22815563,4
22815564,1
22815565,1
22815567,4
22815568,4
22815569,7
22815570,1
22815571,1
22815572,7
22815573,3
22815574,3
22815575,7
22815576,3
22815577,7
22815578,4
22815579,4
22815580,1
22815581,4
22815582,11
22815583,6
22815585,4
22815586,3
22815587,1
22815589,4
22815593,11
22815594,7
22815596,1
22815598,4
22815599,10
22815600,4
22815601,4
22815602,1
22815603,5
22815604,4
22815605,4
22815606,1
22815607,3
22815608,3
22815609,4
22815610,3
22815611,3
22815612,4
22815613,3
22815615,4
22815616,11
22815617,4
22815618,4
22815619,7
22815620,12
22815621,4
22815622,1
22815624,9
22815625,4
22815626,7
22815627,5
22815628,3
22815629,11
22815630,7
22815631,4
22815632,5
22815634,3
22815635,11
22815636,3
22815637,10
22815638,1
22815639,6
22815640,1
22815641,1
22815642,10
22815645,11
22815648,4
22815652,11
22815653,7
22815654,4
22815655,5
22815656,1
22815658,10
22815659,1
22815660,4
22815661,1
22815662,4
22815663,1
22815664,1
22815665,1
22815666,4
22815667,5
22815670,4
22815671,5
22815674,7
22815677,1
22815678,1
22815682,1
22815684,8
22815685,11
22815686,1
22815687,11
22815688,7
22815689,1
22815690,9
22815691,1
22815692,1
22815693,1
22815694,11
22815695,1
22815696,1
22815698,10
22815699,1
22815701,10
22815702,8
22815703,4
22815705,1
22815706,1
22815707,4
22815708,4
22815709,10
22815710,3
22815711,1
22815712,10
22815713,9
22815714,1
22815715,11
22815716,3
22815717,1
22815718,1
22815720,1
22815721,4
22815722,11
22815723,7
22815724,1
22815725,1
22815726,10
22815727,1
22815728,4
22815729,5
22815730,12
22815731,1
22815732,10
22815733,1
22815734,5
22815735,4
22815736,4
22815737,1
22815738,7
22815739,3
22815740,9
22815741,4
22815742,1
22815743,1
22815744,1
22815745,12
22815746,10
22815747,1
22815749,10
22815750,11
22815751,4
22815752,2
22815753,11
22815754,4
22815756,10
22815757,10
22815761,11
22815762,1
22815765,4
22815766,1
22815768,11
22815769,4
22815770,7
22815771,1
22815776,12
22815778,1
22815780,11
22815783,1
22815784,1
22815786,9
22815788,1
22815790,12
22815791,10
22815792,10
22815794,10
22815795,7
22815796,10
22815797,1
22815798,1
22815799,1
22815800,7
22815801,3
22815802,7
22815803,11
22815804,10
22815805,1
22815806,10
22815809,1
22815810,10
22815812,5
22815813,1
22815820,7
22815823,11
22815824,1
22815827,3
22815828,11
22815830,7
22815831,4
22815833,4
22815836,1
22815837,4
22815839,4
22815840,8
22815842,7
22815843,3
22815844,10
22815845,3
22815850,7
22815853,4
22815859,7
22815863,10
22815865,3
22815867,1
22815868,1
22815869,11
22815871,1
22815875,8
22815876,1
22815878,10
22815879,7
22815880,9
22815883,11
22815886,3
22815888,10
22815889,10
22815895,1
22815897,1
22815906,10
22815908,4
22815911,11
22815913,10
22815915,4
22815925,8
22815926,1
22815929,4
22815931,1
22815932,11
22815933,2
22815934,4
22815935,4
22815937,12
22815938,1
22815941,1
22815942,1
22815943,7
22815944,1
22815946,10
22815947,4
22815948,11
22815949,4
22815950,7
22815951,4
22815954,4
22815955,10
22815956,1
22815957,10
22815958,1
22815959,7
22815962,3
22815963,4
22815964,10
22815967,4
22815968,8
22815969,8
22815970,7
22815971,1
22815972,1
22815973,3
22815974,4
22815975,3
22815976,8
22815977,1
22815978,7
22815979,1
22815980,8
22815982,1
22815983,10
22815984,1
22815985,7
22815986,1
22815987,10
22815988,12
22815989,1
22815990,1
22815991,10
22815992,4
22815995,1
22815996,7
22815997,11
22815998,1
22815999,11
22816002,2
22816006,3
22816007,10
22816008,4
22816010,1
22816012,7
22816013,7
22816014,5
22816018,5
22816019,10
22816020,11
22816021,4
22816023,8
22816025,4
22816026,11
22816027,11
22816028,11
22816029,7
22816032,7
22816033,10
22816034,7
22816036,7
22816037,1
22816039,1
22816040,3
22816041,2
22816043,6
22816044,1
22816045,11
22816046,7
22816047,11
22816048,1
22816049,7
22816052,11
22816053,6
22816054,4
22816055,11
22816056,1
22816058,8
22816059,1
22816060,1
22816063,1
22816064,1
22816067,11
22816070,8
22816073,1
22816074,2
22816075,11
22816076,11
22816077,1
22816079,2
22816080,4
22816081,2
22816082,1
22816083,6
22816084,11
22816087,8
22816088,4
22816091,1
22816094,4
22816095,1
22816097,1
22816098,11
22816099,4
22816102,9
22816103,3
22816105,7
22816106,11
22816109,1
22816110,9
22816112,11
22816114,1
22816115,4
22816118,4
22816119,8
22816121,10
22816123,11
22816124,7
22816128,11
22816131,1
22816133,1
22816134,1
22816135,1
22816136,3
22816137,11
22816138,1
22816139,3
22816140,1
22816141,11
22816142,5
22816144,6
22816150,9
22816152,1
22816154,7
22816155,1
22816157,8
22816159,9
22816160,3
22816161,11
22816162,7
22816163,5
22816165,3
22816167,9
22816169,1
22816170,7
22816171,4
22816172,1
22816174,7
22816178,7
22816179,11
22816180,7
22816183,1
22816185,4
22816187,10
22816190,6
22816193,8
